colorCode,colorName,colorFamily,hexRgb,isVariegated,threadSubtype,upc
552,Violet - Medium,Lavender,#902F99,false,solid,077540034758
553,Violet,Lavender,#A449AC,false,solid,077540034765
554,Violet - Light,Lavender,#DC9CDE,false,solid,077540034772
580,Moss Green - Dark,Green,#355F0B,false,solid,077540034789
581,Moss Green,Green,#838A29,false,solid,077540034796
597,Turquoise,Blue,#52ADAB,false,solid,077540034802
598,Turquoise - Light,Blue,#97D8D3,false,solid,077540034819
600,Cranberry - Very Dark,Pink,#BF1C48,false,solid,077540034826
601,Cranberry - Dark,Pink,#C62A53,false,solid,077540034833
603,Cranberry - Light Medium,Pink,#FB4B7C,false,solid,077540034857
604,Cranberry - Light,Pink,#F793B2,false,solid,077540034864
605,Cranberry - Very Light,Pink,#FBACC4,false,solid,077540034871
606,Orange-red - Bright,Orange,#F70F00,false,solid,077540034888
608,Orange - Bright,Orange,#FD480C,false,solid,077540034895
610,Drab Brown - Dark,Yellow,#6B5039,false,solid,077540034901
611,Drab Brown,Yellow,#7C5F46,false,solid,077540034918
612,Drab Brown - Light,Yellow,#A6885E,false,solid,077540034925
613,Drab Brown - Very Light,Yellow,#B99F72,false,solid,077540034932
632,Desert Sand - Ultra Very Dark,Peach,#7F4232,false,solid,077540034949
642,Beige Gray - Dark,Gray,#958D79,false,solid,077540034963
644,Beige Gray - Medium,Gray,#C4BEA6,false,solid,077540034970
645,Beaver Gray - Very Dark,Black and White,#5D5D54,false,solid,077540034987
646,Beaver Gray - Dark,Black and White,#6B6860,false,solid,077540034994
647,Beaver Gray - Medium,Black and White,#908E85,false,solid,077540035007
648,Beaver Gray - Light,Black and White,#A7A69F,false,solid,077540035014
666,Red - Bright,Red,#CE1B33,false,solid,077540035021
676,Old Gold - Light,Yellow,#ECBF7D,false,solid,077540035038
677,Old Gold - Very Light,Yellow,#F2DC9F,false,solid,077540035045
699,Green,Green,#075B26,false,solid,077540035069
700,Green - Bright,Green,#076C34,false,solid,077540035076
701,Green - Light,Green,#217C36,false,solid,077540035083
702,Kelly Green,Green,#379130,false,solid,077540035090
703,Chartreuse,Green,#63B330,false,solid,077540035106
704,Chartreuse - Bright,Green,#88C53A,false,solid,077540035113
712,Cream,Brown,#F6EFDA,false,solid,077540035120
718,Plum,Pink,#CB2089,false,solid,077540035137
725,Topaz,Orange,#F9C15B,false,solid,077540035144
726,Topaz - Light,Orange,#FDDB63,false,solid,077540035151
727,Topaz - Very Light,Orange,#FDE98B,false,solid,077540035168
729,Old Gold - Medium,Yellow,#CE9657,false,solid,077540035175
730,Olive Green - Very Dark,Green,#63520B,false,solid,077540035182
732,Olive Green,Green,#725C0C,false,solid,077540035205
733,Olive Green - Medium,Green,#A78A44,false,solid,07754003521
734,Olive Green - Light,Green,#BB9C54,false,solid,077540035229
738,Tan - Very Light,Brown,#E2B783,false,solid,077540035236
739,Tan - Ultra Very Light,Brown,#F2DEB9,false,solid,077540035243
740,Tangerine,Orange,#FD6F1A,false,solid,077540035250
741,Tangerine - Medium,Orange,#FC8B10,false,solid,077540035267
742,Tangerine - Light,Orange,#FDAE3C,false,solid,077540035274
743,Yellow - Medium,Orange,#FDD769,false,solid,077540035281
744,Yellow - Pale,Orange,#FEE88D,false,solid,077540035298
745,Yellow - Light Pale,Orange,#FEEBA5,false,solid,077540035304
746,Off White,Yellow,#FAF2D5,false,solid,077540035311
747,Sky Blue - Very Light,Blue,#CEE9EA,false,solid,077540035328
754,Peach - Light,Peach,#F7C9B0,false,solid,077540035335
758,Terra Cotta - Very Light,Peach,#E99F83,false,solid,077540035342
760,Salmon,Red,#EC8880,false,solid,077540035359
761,Salmon - Light,Red,#F8B4AD,false,solid,077540035366
762,Pearl Gray - Very Light,Black and White,#D1D0D2,false,solid,077540035373
775,Baby Blue - Very Light,Blue,#D4E3EF,false,solid,077540035380
778,Antique Mauve - Very Light,Lavender,#DCA6A4,false,solid,077540035403
780,Topaz - Ultra Very Dark,Yellow,#945026,false,solid,077540035410
782,Topaz - Dark,Yellow,#B26923,false,solid,077540035434
783,Topaz - Medium,Yellow,#D0883D,false,solid,077540035441
791,Cornflower Blue - Very Dark,Purple,#2D2068,false,solid,077540035458
792,Cornflower Blue - Dark,Purple,#454B8B,false,solid,077540035465
793,Cornflower Blue - Medium,Purple,#7C82B5,false,solid,077540035472
794,Cornflower Blue - Light,Purple,#A0B2D7,false,solid,077540035489
796,Royal Blue - Dark,Blue,#272276,false,solid,077540035496
797,Royal Blue,Blue,#2B3288,false,solid,077540035502
798,Delft Blue - Dark,Blue,#4E5CA7,false,solid,077540035519
799,Delft Blue - Medium,Blue,#6B7FC0,false,solid,077540035526
800,Delft Blue - Pale,Blue,#B5C7E9,false,solid,077540035533
801,Coffee Brown - Dark,Brown,#60391D,false,solid,077540035540
807,Peacock Blue,Blue,#558B9E,false,solid,077540035564
809,Delft Blue,Blue,#919FD5,false,solid,077540035571
813,Blue - Light,Blue,#7FA0C6,false,solid,077540035588
814,Garnet - Dark,Red,#711033,false,solid,077540035595
815,Garnet - Medium,Red,#800B34,false,solid,077540035601
816,Garnet,Red,#921238,false,solid,077540035618
817,Coral Red - Very Dark,Red,#BB1630,false,solid,077540035625
818,Baby Pink,Pink,#FEDEDD,false,solid,077540035632
819,Baby Pink - Light,Pink,#FCEBDE,false,solid,077540035649
820,Royal Blue - Very Dark,Blue,#151264,false,solid,077540035656
822,Beige Gray - Light,Gray,#E8DFC7,false,solid,077540035663
823,Blue - Dark,Blue,#000B44,false,solid,077540035670
824,Blue - Very Dark,Blue,#284779,false,solid,077540035687
825,Blue - Dark,Blue,#34588F,false,solid,077540035694
826,Blue - Medium,Blue,#5075A7,false,solid,077540035700
827,Blue - Very Light,Blue,#A4C1DE,false,solid,077540035717
828,Blue - Ultra Very Light,Blue,#C3D7E6,false,solid,077540035724
829,Golden Olive - Very Dark,Yellow,#64480C,false,solid,077540035731
830,Golden Olive - Dark,Yellow,#6E501D,false,solid,077540035748
832,Golden Olive,Yellow,#9C7230,false,solid,077540035762
834,Golden Olive - Very Light,Yellow,#D2B468,false,solid,077540035786
838,Beige Brown - Very Dark,Gray,#4A3021,false,solid,077540035793
839,Beige Brown - Dark,Gray,#5A3C2D,false,solid,077540035809
840,Beige Brown - Medium,Gray,#7A5939,false,solid,077540035816
841,Beige Brown - Light,Gray,#A37D64,false,solid,077540035823
842,Beige Brown - Very Light,Gray,#CBB094,false,solid,077540035830
844,Beaver Gray - Ultra Dark,Gray,#494842,false,solid,077540035847
869,Hazelnut Brown - Very Dark,Yellow,#784C28,false,solid,077540035854
890,Pistachio Green - Ultra Dark,Green,#324233,false,solid,077540035861
891,Carnation - Dark,Pink,#EE3246,false,solid,077540035878
892,Carnation - Medium,Pink,#F44753,false,solid,077540035885
893,Carnation - Light,Pink,#F66879,false,solid,077540035892
894,Carnation - Very Light,Pink,#FD95A3,false,solid,077540035908
895,Hunter Green - Very Dark,Green,#344B2E,false,solid,077540035915
898,Coffee Brown - Very Dark,Brown,#532F1B,false,solid,077540035922
899,Rose - Medium,Pink,#EA6B78,false,solid,077540035939
900,Burnt Orange - Dark,Orange,#C63117,false,solid,077540035946
902,Garnet - Very Dark,Lavender,#651329,false,solid,077540035953
904,Parrot Green - Very Dark,Green,#386324,false,solid,077540035960
905,Parrot Green - Dark,Green,#467924,false,solid,077540035977
906,Parrot Green - Medium,Green,#6C9E29,false,solid,077540035984
907,Parrot Green - Light,Green,#9DC72D,false,solid,077540035991
909,Emerald Green - Very Dark,Green,#106B43,false,solid,077540036004
910,Emerald Green - Dark,Green,#10814E,false,solid,077540036011
911,Emerald Green - Medium,Green,#109256,false,solid,077540036028
912,Emerald Green - Light,Green,#36B26B,false,solid,077540036035
913,Nile Green - Medium,Green,#55CA7D,false,solid,077540036042
915,Plum - Dark,Pink,#95085A,false,solid,077540036059
918,Red Copper - Dark,Orange,#883630,false,solid,077540036073
919,Red Copper,Orange,#9B371B,false,solid,077540036080
920,Copper - Medium,Orange,#AB4836,false,solid,077540036097
921,Copper,Orange,#C0573D,false,solid,077540036103
922,Copper - Light,Orange,#DD6E4C,false,solid,077540036110
924,Gray Green - Very Dark,Blue,#384A4A,false,solid,077540036127
926,Gray Green - Medium,Blue,#617674,false,solid,077540036134
927,Gray Green - Light,Blue,#9FA8A5,false,solid,077540036141
928,Gray Green - Very Light,Blue,#C0C6C0,false,solid,077540036158
930,Antique Blue - Dark,Blue,#495C6B,false,solid,077540036165
931,Antique Blue - Medium,Blue,#667684,false,solid,077540036172
932,Antique Blue - Light,Blue,#93A0AF,false,solid,077540036189
934,Avocado Green - BLACK,Green,#323324,false,solid,077540036196
935,Avocado Green - Dark,Green,#383A2A,false,solid,077540036202
936,Avocado Green - Very Dark,Green,#3F4227,false,solid,077540036219
937,Avocado Green - Medium,Green,#434F2C,false,solid,077540036226
938,Coffee Brown - Ultra Dark,Brown,#45271A,false,solid,077540036233
939,Blue - Very Dark,Blue,#09092F,false,solid,077540036240
943,Aquamarine - Medium,Blue Green,#009A77,false,solid,077540036257
945,Tawny,Orange,#F6C19A,false,solid,077540036264
946,Burnt Orange - Medium,Orange,#ED4115,false,solid,077540036271
947,Burnt Orange,Orange,#FC4F16,false,solid,077540036288
948,Peach - Very Light,Peach,#FDE6D3,false,solid,077540036295
950,Desert Sand - Light,Peach,#E5AC8D,false,solid,077540036301
951,Tawny - Light,Orange,#FADDB6,false,solid,077540036318
954,Nile Green,Green,#6FDA8A,false,solid,077540036325
955,Nile Green - Light,Green,#A8EBAD,false,solid,077540036332
956,Geranium,Pink,#F7566D,false,solid,10049593
957,Geranium - Pale,Pink,#FD99AF,false,solid,077540649358
959,Seagreen - Medium,Blue Green,#72D0B7,false,solid,077540401567
961,Dusty Rose - Dark,Pink,#DE586C,false,solid,077540036363
962,Dusty Rose - Medium,Pink,#EB7183,false,solid,077540036370
963,Dusty Rose - Ultra Very Light,Pink,#FDCCD1,false,solid,077540036387
966,Baby Green - Medium,Blue Green,#94D28A,false,solid,077540036394
972,Canary - Deep,Orange,#FB9F11,false,solid,077540036424
973,Canary - Bright,Orange,#FCCD2D,false,solid,077540036431
975,Golden Brown - Dark,Yellow,#813C11,false,solid,077540036448
976,Golden Brown - Medium,Yellow,#CF7532,false,solid,077540036455
977,Golden Brown - Light,Yellow,#EC8F43,false,solid,077540036462
986,Forest Green - Very Dark,Green,#2E5230,false,solid,077540036479
987,Forest Green - Dark,Green,#436838,false,solid,077540036486
988,Forest Green - Medium,Green,#66924A,false,solid,077540036493
989,Forest Green,Green,#71A74E,false,solid,077540036509
991,Aquamarine - Dark,Blue Green,#135F55,false,solid,077540036516
992,Aquamarine - Light,Blue Green,#42B59E,false,solid,077540036523
993,Aquamarine - Very Light,Blue Green,#62D8B6,false,solid,077540036530
995,Electric Blue - Dark,Blue,#0061B0,false,solid,077540036547
996,Electric Blue - Medium,Blue,#49A8EB,false,solid,077540036554
B5200,Snow White,Black and White,#FFFFFF,false,solid,077540281435
BLANC,White,Black and White,#FCFCFF,false,solid,077540036721
ECRU,Ecru/off-white,Gray,#FFF7E7,false,solid,077540036738
01,White Tin,Black and White,#EFEEF0,false,solid,077540975167
03,Tin - Medium,Black and White,#B0B0B5,false,solid,077540975181
4010,Variations - Winter Sky,Variations,#87CEEB,true,variegated,077540147021
4020,Variations - Tropical Waters,Variations,#20B2AA,true,variegated,077540147038
4025,Variations - Caribbean Bay,Variations,#0099BB,true,variegated,077540148172
4040,Variations - Water Lillies,Variations,#9ECFC4,true,variegated,077540147052
4045,Variations - Evergreen Forest,Variations,#2E5C2E,true,variegated,077540148158
4060,Variations - Weeping Willow,Variations,#8FBC8F,true,variegated,077540147076
4065,Variations - Morning Meadow,Variations,#A5C77A,true,variegated,077540148165
4070,Variations - Autumn Leaves,Variations,#C46A25,true,variegated,077540147083
4075,Variations - Wheat Fields,Variations,#D4A95A,true,variegated,077540148134
4077,Variations - Morning Sunshine,Variations,#F0C040,true,variegated,077540148141
4080,Variations - Daffodil Fields,Variations,#FFE135,true,variegated,077540147090
4100,Variations - Summer Breeze,Variations,#A8C8E8,true,variegated,077540147632
4110,Variations - Sunrise,Variations,#FF8C42,true,variegated,077540147991
4120,Variations - Tropical Sunset,Variations,#FF6840,true,variegated,077540148004
4124,Variations - Bonfire,Variations,#CC3300,true,variegated,077540148240
4126,Variations - Desert Canyon,Variations,#C1673E,true,variegated,077540148233
4128,Variations - Gold Coast,Variations,#C8A040,true,variegated,077540148226
4130,Variations - Chilean Sunset,Variations,#E05538,true,variegated,077540148011
4140,Variations - Driftwood,Variations,#8B7353,true,variegated,077540148028
4145,Variations - Sandune,Variations,#C2A87A,true,variegated,077540148219
4150,Variations - Desert Sand,Variations,#D4B88A,true,variegated,077540148035
4160,Variations - Glistening Pearl,Variations,#F0EAE0,true,variegated,077540148042
4170,Variations - Whispering Wind,Variations,#E8E0D0,true,variegated,077540148059
4180,Variations - Rose Petals,Variations,#E88A9B,true,variegated,077540148066
4190,Variations - Ocean Coral,Variations,#E87060,true,variegated,077540148073
4200,Variations - Wild Fire,Variations,#E03030,true,variegated,077540148080
4210,Variations - Radiant Ruby,Variations,#C01030,true,variegated,077540148097
4215,Variations - Northern Lights,Variations,#60C0A8,true,variegated,077540148196
4220,Variations - Lavender Fields,Variations,#B498D0,true,variegated,077540148103
4230,Variations - Crystal Water,Variations,#78BACE,true,variegated,077540148110
4235,Variations - Arctic Sea,Variations,#60A8C0,true,variegated,077540148189
4240,Variations - Mid Summer Night,Variations,#3050A0,true,variegated,077540148127
504,Blue Green - Very Light,Blue Green,#86C3AB,false,solid,077540034680
53,Variegated - Steel Grey,Variegated,#A0A0A0,true,variegated,077540033812
602,Cranberry - Medium,Pink,#D63F68,false,solid,077540034840
640,Beige Gray - Very Dark,Gray,#817868,false,solid,077540034956
776,Pink - Medium,Pink,#F9979C,false,solid,077540035397
781,Topaz - Very Dark,Yellow,#B26923,false,solid,077540035427
806,Peacock Blue - Dark,Blue,#467293,false,solid,077540035557
971,Pumpkin,Orange,#FD6F1A,false,solid,077540036417
4022,Variations - Mediterranean Sea,Variations,#8FBCCB,true,variegated,077540403851
4042,Variations - Very Merry,Variations,#7A8C68,true,variegated,077540403875
4066,Variations - Amazon Moss,Variations,#6F8453,true,variegated,077540403912
4073,Variations - Buttercup,Variations,#D8B247,true,variegated,077540404018
4095,Variations - Cupcake,Variations,#F0D6B8,true,variegated,077540404032
4205,Variations - Highland Heather,Variations,#9B84B0,true,variegated,077540148186
4214,Variations - French Vanilla,Variations,#F3E8D1,true,variegated,077540404261
4237,Variations - Ammonite,Variations,#B2A79A,true,variegated,077540404285
